"Self-Deception: India's China Policies : Indias China Policies Origins, Premises, Lessons (English)",9351160939,9789351160939,Rs. 389,408 Pages,,HarperCollins,2013 August,Paperback,English
Challenge and Strategy (English),8132113675,9788132113676,Rs. 404,,Rajiv Sikri,,,Paperback,English
The Lost River: On The Trail Of The Sarasvati (English),0143068644,9780143068648,Rs. 450,368 Pages,,PENGUIN INDIA,2010,Paperback,English
"Guns, Germs And Steel",0099302780,9780099302780,Rs. 389,,,Random House,2000,Paperback,
"Eminent Historians: Their Technology, Their Line, Their Fraud : Their Technology, Their Line, Their Fraud (English)",9351365913,9789351365914,Rs. 426,400 Pages,Arun Shourie,HarperCollins,2014 June,Paperback,English
Imagining India: Ideas For The New Century (English),0670081965,9780670081967,Rs. 650,520 Pages,,Penguin,2008,Hardcover,English
Return of a King: The Battle for Afghanistan (English),1408862875,9781408862872,Rs. 324,,,Bloomsbury Publishing (IN),,Paperback,English
THE MEN WHO KILLED GANDHI (English),8174366172,9788174366177,Rs. 371,368 Pages,,Roli Books,2010,Hardcover,English
Reimagining India : How to Unlock the Potential of Asia's Next Superpower (English),147676333X,9781476763330,Rs. 454,432 Pages,,Simon & Schuster,2013 November,Hardcover,English
"A History of the Sikhs, Volume 1 : 1469-1839 (English) 2nd Edition",0195673085,9780195673081,Rs. 395,407 Pages,,"Oxford University Press, USA",2004,Paperback,English
Rise And Fall Of The Third Reich,0099421763,9780099421764,Rs. 714,,,Random House,2002,Paperback,
The Brave (English),0143422359,9780143422358,Rs. 162,246 Pages,Rachna Bisht Rawat,Penguin Books Ltd,2014 August,Paperback,English
Jerusalem: The Biography (English),1780220251,9781780220253,Rs. 389,768 Pages,,Orion Publishing Group,2012 March,Paperback,English
The Intolerant Indian : Why We Must Rediscover A Liberal Space (English),9350290510,9789350290514,Rs. 379,242 Pages,,Harpercollins India,2011,Paperback,English
