We the Living (75th Anniversary Edition),045123359X,9780451233592,Rs. 350,,,Penguin Publishing Group,2011,,
Things Fall Apart,0141186887,9780141186887,Rs. 279,,,Penguin Books Ltd,2001,,
Zealot: The Life and Times of Jesus of Nazareth : The Life and Times of Jesus of Nazareth (English),9351360768,9789351360766,Rs. 419,336 Pages,,HarperCollins,2013 September,,English
Death of a Salesman (English),0141182741,9780141182742,Rs. 332,,,PENGUIN UK,,,English
The Testament of Mary (English),0241962978,9780241962978,Rs. 399,112 Pages,,Penguin Books Ltd,2013 July,,English
The Blind Assassin,1860498809,9781860498800,Rs. 474,,,"Little, Brown Book Group",2001,,
Les Miserables,0140444300,9780140444308,Rs. 569,,,Penguin Publishing Group,1982,,
The Age Of Revolution: 1789-1848 (English),0349104840,9780349104843,Rs. 419,416 Pages,,"Little, Brown",1988,,English
Wide Sargasso Sea (English),0141182857,9780141182858,Rs. 245,,,Penguin Books Ltd,,,English
Earthsea Quartet,0140348034,9780140348033,Rs. 741,,,Frances Lincoln Childrens Books,2010,,
If On A Winter's Night A Traveller,0099430894,9780099430896,Rs. 279,,,Random House,1992,,
Dune,0441172717,9780441172719,Rs. 450,,,Penguin Publishing Group,1990,,
How to Get Filthy Rich in Rising Asia (English),0670086371,9780670086375,Rs. 474,240 Pages,,Penguin,2013,,English
The Complete MAUS,0141014083,9780141014081,Rs. 899,,,Penguin Books Ltd,2003,,
Patriots & Partisans (English),014342114X,9780143421146,Rs. 464,352 Pages,Ramachandra Guha,Penguin,2013 October,,English
Inside the Haveli (English),0140261206,9780140261202,Rs. 299,264 Pages,Rama Mehta,Penguin,2000 October,,English
The Kills (English),1447214862,9781447214861,Rs. 392,,,PICADOR INDIA,,,English
Jack Reacher (One Shot) (English),0857501194,9780857501196,Rs. 395,496 Pages,,Transworld,2012 November,,English
Non-Stop India (English),0670083895,9780670083893,Rs. 474,280 Pages,,Allen Lane,2011,,English
A Tale for the Time Being (English),0857867970,9780857867971,Rs. 639,400 Pages,,RC,2013,,English
Steve Jobs: The Exclusive Biography (English),1408703742,9781408703748,"Rs. 2,081",656 Pages,,"Little, Brown Book Group",2011 October,,English
The White Tiger,1416562605,9781416562603,Rs. 330,,,Free Pr,2008,,
Simoqin Prophecies: Gameworld Trilogy 1 (English),0144000776,9780144000777,Rs. 399,512 Pages,,Penguin Books India,2005,,English
Interworld (English),0007535201,9780007535200,Rs. 265,288 Pages,"Neil Gaiman, Michael Reaves",Harper Collins Publishers,2013 July,,English
American Gods,0380789035,9780380789030,Rs. 566,,,Harper Torch,2002,,
The Silmarillion,0345325818,9780345325815,Rs. 598,,,Random House Publishing Group,1985,,
The Once and Future King,0441627404,9780441627400,Rs. 658,,,Penguin Publishing Group,1987,,
The Princess Bride,0156035219,9780156035217,Rs. 606,,,Mariner Books,2007,,
Lord of the Flies,0399501487,9780399501487,Rs. 619,,,Penguin Publishing Group,1959,,
To the Lighthouse (English) 01 Edition,812480012X,9788124800126,Rs. 220,224 Pages,,Peacock,2013,,English
The Gunslinger: (The Dark Tower #1)(Revised Edition),0451210840,9780451210845,Rs. 747,,,Penguin Publishing Group,2003,,
She's Come Undone,0671021001,9780671021009,Rs. 527,,,POCKET US,1998,,
Jonathan Strange & Mr. Norrell,0765356155,9780765356154,Rs. 746,,,Tor Books,2006,,
Gravity's Rainbow,0140188592,9780140188592,"Rs. 1,218",,,Penguin Publishing Group,1995,,
The Age of Reason,0141185287,9780141185286,Rs. 355,,,Penguin Books Ltd,2005,,
Mao II: A Novel (English),0140152741,9780140152746,"Rs. 1,016",256 Pages,,Penguin Publishing Group,1992 May,,English
The Ghost Road (English),014103095X,9780141030951,Rs. 791,,,Penguin Books Ltd,,,English
A Short History of the World (English),0141441828,9780141441825,Rs. 450,400 Pages,,Penguin Publishing Group,2007 July,,English
The Brothers Karamazov: A Novel in Four Parts and an Epilogue (English),0140449248,9780140449242,Rs. 499,,,Penguin Publishing Group,,,English
Everything is Illuminated,0141008253,9780141008257,Rs. 349,,Jonathan Safran Foer,Penguin,2003,,
Jane Eyre,0553211404,9780553211405,Rs. 384,,,Random House Publishing Group,1983,,
