Ek Kahani Aisi Bhi (English),9351203425,9789351203421,Rs. 191,200 Pages,R. J Praveen of 93.5 Red FM,Future,2015,Paperback,English
It (English),1444707868,9781444707861,Rs. 218,1392 Pages,,Hodder & Stoughton,2011 May,Paperback,English
More Ghost Stories of Shimla Hills (English),812911996X,9788129119964,Rs. 73,160 Pages,,Rupa Publications India Pvt Ltd.,2012,Paperback,English
The Shining (English),1444720724,9781444720723,Rs. 249,512 Pages,,Hodder & Stoughton,2011 November,Paperback,English
Are You Afraid Of The Dark ? (English),0007199066,9780007199068,Rs. 237,401 Pages,,Harper Collins Publishers India,2005,Paperback,English
